key;fi;nn;sv;sma;sme;smj;smn;sms
ThemesPageTitleText;Pulistaan meille parempia palveluja!;La oss byggje betre tenester!;Låt oss bygga bättre tjänster!;;;;;
ThemesPageBody1Text;Valitse aihe, josta haluat puhua.;Vel eit tema du vil snakke om.;Välj ett ämne du vill prata om.;;;;;
ThemesPageBody2Text;Palvelu opastaa sinua eteenpäin.;Tenesta vil rettleie deg vidare.;Tjänsten vägleder dig vidare.;;;;;
StartButtonText;Aloita;Set i gang;Sätt igång;;;;;
StartRecording;Äänitä;Ta opp;Spela in;;;;;
StopRecording;Lopeta äänitys;Stopp opptak;Stoppa inspelning;;;;;
ContinueSchedule;Aloitetaan;La oss starte;Låt oss börja;;;;;
RecordingFinishTitle;Hyvin kerrottu, paljon kiitoksia!;Godt fortalt, tusen takk!;Bra berättat, tack så mycket!;;;;;
DetailsButtonText;Lisätietoa;Meir informasjon;Mer information;;;;;
ExitButtonText;Poistu;Avslutt;Avsluta;;;;;
DonatedLabelText;OLET LAHJOITTANUT;DU HAR DONERT;DU HAR DONERAT;;;;;
ChooseOptionText;Valitse vaihtoehto:;Vel eit alternativ:;Välj ett alternativ:;;;;;
InviteFriendButtonText;Kerro kaverille;Fortel ein ven;Tipsa en vän;;;;;
DonateMoreButtonText;Lahjoita lisää;Doner meir;Donera mer;;;;;
InviteFriendTitle;Kerro kaverille;Fortel ein ven;Tipsa en vän;;;;;
InviteFriendTemplate;Lahjoitin puhettani { $param0 } minuuttia. Lahjoita sinäkin! #hashtag https://example.com;Eg donerte { $param0 } minutt av talen min. Doner du òg! #hashtag https://example.com;Jag donerade { $param0 } minuter av min röst. Donera du också! #hashtag https://example.com;;;;;
InviteFriendNewbieTemplate;Lahjoitin juuri puhettani. Lahjoita sinäkin! #hashtag https://example.com;Eg har nettopp donert tale. Doner du òg! #hashtag https://example.com;Jag har just donerat tal. Donera du också! #hashtag https://example.com;;;;;
OnboardingTitle;Äänesi kehittää kieliteknologiaa;Stemma di utviklar språkteknologi;Din röst utvecklar språkteknologi;;;;;
OnboardingBody;Lahjoita muutama minuutti puhettasi. Se auttaa kielitutkijoita kehittämään saamen kielen tutkimusta ja työkaluja.;Doner nokre minutt av stemma di. Det hjelper språkforskarar med å forske på og utvikle verktøy for samiske språk.;Donera några minuter av din röst. Det hjälper språkforskare att forska om och utveckla verktyg för samiska språk.;;;;;
OnboardingFeature1Title;Valitse aihe, josta haluat puhua;Vel eit tema du vil snakke om;Välj ett ämne du vill prata om;;;;;
OnboardingFeature1Body;Palvelu opastaa sinua eteenpäin.;Tenesta viser deg vegen vidare.;Tjänsten visar dig vägen vidare.;;;;;
OnboardingFeature2Title;Äänitä;Gjer opptak;Spela in;;;;;
OnboardingFeature2Body;Reagoi sisältöön omalla äidinkielelläsi.;Kommenter innhaldet på ditt eige morsmål.;Kommentera innehållet på ditt eget modersmål.;;;;;
OnboardingFeature3Title;Vapaaehtoista;Frivillig deltaking;Frivilligt deltagande;;;;;
OnboardingFeature3Body;Voit lopettaa tai ohittaa milloin tahansa.;Du kan stoppe eller hoppe over når som helst.;Du kan stoppa eller hoppa över när som helst.;;;;;
TermsHelloTitle;Kiitos, kun tulit.;Takk for at du kom.;Tack för att du kom.;;;;;
TermsHelloBody;Lue ensin nämä perustiedot hankkeesta. Sen jälkeen voit valita sinua kiinnostavan aihepiirin ja lahjoittaa puhettasi.;Les først denne grunnleggjande informasjonen om prosjektet. Deretter kan du velje eit emne som interesserer deg og donere talen din.;Läs först denna grundläggande information om projektet. Därefter kan du välja ett ämne som intresserar dig och donera ditt tal.;;;;;
TermsGeneralTitle;Käyttöehtosivun otsikko;Brukarvilkår;Användarvillkor;;;;;
