key	fi	nb	nn	se	sma	smj	smn	sms	sv	sje	sju
AppTitle				Jietnašiella		Jiednasjiella					
BackToThemesButtonText	Takaisin aiheisiin	Tilbake til temaer		Ruovttoluotta fáttáide	Bååstede aamhtesidie	Ruoptus tiemájda	Maasâd fáádáid		Tillbaka till teman		
ChooseLanguageTitle	Valitse kieli	Velg språk	Vel språk	Válljes giela	Veeljh gïele	Vállji gielav	Valjii kielâ		Välj språk		
ChooseOptionText	Valitse vaihtoehto:	Velg et alternativ:	Vel eit alternativ:	Válljes eavttu	Veeljh akte alternatijve	Vállji alternativjav:	Valjii muulsâiävtu:		Välj ett alternativ:		
ContinueSchedule	Jatkaa	Fortsett	Fortsett	Joatkke	Jåerhkieh	Joarke	Juáđhi		Fortsätt		
DetailsButtonText	Lisätietoa	Mer informasjon	Meir informasjon	Eanet dieđut	Vielie bïevnesh	Ienep diedo	Lasetiäđuh		Mer information		
DetailsIdentityCreatedMessage	Uusi paikallinen anonyymi identiteetti luotiin.	Opprettet en ny lokal anonym identitet.		Ráhkadii ođđa anonyma identitehta	Orre byjrehks anonyjme identiteete dorjesovveme	Æhppa dagáj ådå anonijma identiehtav	Uđđâ páihálâš anonyym identiteet rahtui.		Skapade en ny lokal anonym identitet		
DetailsIdentityEmailInvalidMessage	Anna kelvollinen sähköpostiosoite.	Skriv inn en gyldig e-postadresse.		Čális gustovaš e-boastačujuhusa	Tjaelieh rïektes e-påaste	Tjále doajmme e-poasstaadressav	Addel tohálii šleđgâpostâčujottâs.		Skriv in en giltig e-postadress		
DetailsIdentityEmailLinkedMessage	Sähköposti liitettiin paikalliseen anonyymiin tunnisteeseen.	E-post ble knyttet til lokal anonym ID.		E-boasta laktašuvvui báikkálaš anonyma identitehtii	E-påaste byjrehks anonyjme identiteetese gaarehtovveme	E-poassta tjanáduváj bájkálasj anaonijma identitiehttaj	Šleđgâpostâ lohtui páihálâš anonyym tubdâldâsân.		E-postadressen har kopplats till ett lokalt anonymt ID.		
DetailsIdentitySwitchedMessage	Vaihdettiin paikalliseen identiteettiin.	Byttet lokal identitet.		Rievddai báikkálaš identitehta	Målsoeh byjrehks identiteete	Æhppa rievddadij bájkálasj identitiehtav	Rievdâi páihálâš identiteetân.		Bytte lokal profil		
DetailsIdentitySwitchFailedMessage	Identiteetin vaihtaminen epäonnistui.	Kunne ikke bytte identitet.		Ii sáhttán rievdat identitehta	Idtji maehtieh identiteete målsodh	Æhppa ittjij nagá identitiehtav rievddadit	Ij luhostum rievdâđ identiteet.		Kunde inte byta profil		
DetailsInfoTabTitle	Tiedot	Info		Dieđut	Bïevnesh	Diedo	Tiäđuh		Info		
DetailsPrivacyTitle				Diehtosuodji	Privacy Policy	Privacy Policy					
DetailsRecordingsTabTitle				Báddemat		Báddima					
DetailsRemoveBody				To request deletion, copy your Client ID below and email it to feedback@divvun.no. We will delete all recordings associated with that ID from our servers.	To request deletion, copy your Client ID below and email it to feedback@divvun.no. We will delete all recordings associated with that ID from our servers.	To request deletion, copy your Client ID below and email it to feedback@divvun.no. We will delete all recordings associated with that ID from our servers.					
DetailsRemoveButtonClickedTitle				Copied!	Copied!	Copied!					
DetailsRemoveButtonTitle				Máŋge kl ID	Copy Client ID	Copy Client ID					
DetailsRemoveTitle				Sihko dáhtaid	Delete your data	Delete your data					
DonatedLabelText	OLET LAHJOITTANUT	DU HAR DONERT	DU HAR DONERT	Don leat dál skeŋken hállama	Datne donereme	Dån la dal hållamav donierim	Tun lah tääl skeŋkkim sárnum		DU HAR DONERAT		
DonateMoreButtonText	Lahjoita lisää	Doner mer	Doner meir	Skeŋkes eanet	Vedtieh jienebh	Donierista ájn ienep hållamav	Skeŋkkii lase		Donera mer		
ExitButtonText	Poistu	Avslutt	Avslutt	Heaittit	Orrijidh	Låhpada	Jooskâ		Avsluta		
InviteFriendButtonText	Kerro kaverille	Fortell en venn	Fortel ein ven	Muital skihpárii	Raeresth voelpe	Gåhtjo rádnav	Muštâl skipárân		Tipsa en vän		
InviteFriendNewbieTemplate	Lahjoitin juuri puhettani. Lahjoita sinäkin! #hashtag https://jietnašiella.org	Jeg har nettopp donert min tale. Doner du også! #hashtag https://jietnašiella.org	Eg har nettopp donert tale. Doner du òg! #hashtag https://jietnašiella.org	Lean áiddo skeŋken iežan hállama. Skeŋkes don maid! #hashtag https://jietnašiella.org	Aadtjen gïele vadteme. Vedtieh datne aaj! #hashtag https://jietnašiella.org	Lev jur ietjam hållamav sállim. Sállista dån aj! #hashtag https://jietnašiella.org	Lam eidu skeŋkkim jieččân sárnum. Skeŋkkii tun meid!  #hashtag https://jietnašiella.org		Jag har just donerat tal. Donera du också! #hashtag https://jietnašiella.org		
InviteFriendTemplate	Lahjoitin puhettani { $param0 } minuuttia. Lahjoita sinäkin! #hashtag https://jietnašiella.org	Jeg donerte { $param0 } minutter av min tale. Doner du også! #hashtag https://jietnašiella.org	Eg donerte { $param0 } minutt av talen min. Doner du òg! #hashtag https://jietnašiella.org	Lean skeŋken {$param0} minuhta iežan hállamis. Skeŋkes don maid! #hashtag https://jietnašiella.org	Leam {$param0} minuhte jïjtjen gïeleste vadteme. Vedtieh datne aaj!#hashtag https://jietnašiella.org	Lev donierim { $param0 } minuhta ietjam hållamis. Donierista dån aj! #hashtag https://jietnašiella.org	Lam skeŋkkim {$param0} minuttid jieččân sárnumist. Skeŋkkii tun meid!  #hashtag https://jietnašiella.org		Jag donerade { $param0 } minuter av min röst. Donera du också! #hashtag https://jietnašiella.org		
InviteFriendTitle	Kerro kaverille	Fortell en venn	Fortel ein ven	Muital skihpárii	Soptsesth voelpese	Subtsasta ráddnasit hållamdonierima birra	Muštâl skipárân		Tipsa en vän		
LanguageFinnish	Suomi	Finsk	Finsk	Suomagiella	Såevmiengïele	Suomagiella	Suomâ		Finska		
